area,population,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021
Sacramento,1567975,520,598,640,1206,1062,926,1022,905,581,525,959,928,739,660,638,417,378,605,681,538,562,479,325,228,570,444,358,361,363,255,193,440,401,289,323,301,180,217,332,287,311,251,242,203,167,207,327,254,158,163,121,124,210,167,157,154,158,123,83,184,145,167,161,135,96,89,177,170,167,130,141,124,86,178,153,143,128,148,102,111,194,178,191,175,147,100,90,175,194,137
San Benito,64022,23,38,81,98,112,102,77,62,37,49,97,77,67,55,34,43,33,38,51,46,30,33,25,24,42,37,14,15,18,8,18,22,18,14,18,14,11,18,19,5,12,14,9,16,14,8,9,8,6,3,5,12,10,2,6,1,5,1,1,11,5,7,1,0,3,5,7,3,4,9,3,3,3,9,3,5,3,2,0,4,6,3,5,1,3,3,2,5,7,6
San Bernardino,2217398,1579,2813,1616,5258,4224,3937,3716,3534,1886,1186,3585,2837,2571,2376,1966,1160,780,2128,1777,1744,1358,1348,821,543,1323,950,997,850,694,515,415,1033,696,675,481,549,339,305,583,403,375,362,316,193,152,316,256,222,207,210,127,101,247,182,189,151,134,99,79,138,144,133,141,130,94,84,150,109,113,92,97,58,53,124,93,130,117,80,72,65,88,87,84,85,82,55,62,119,96,108
San Diego,3370418,1764,3074,2599,5260,4574,4140,3498,3306,2535,1695,3667,3270,2913,2616,2396,1749,1296,2195,2644,2420,1855,1776,1240,1060,1692,1614,1492,1329,1151,942,758,1313,1225,1039,901,790,576,496,787,742,657,581,552,383,331,492,514,462,377,354,291,242,435,410,377,294,294,227,190,296,318,244,263,260,234,188,282,241,232,221,164,163,155,235,250,232,211,152,135,171,260,212,245,215,227,178,170,274,267,237
San Francisco,892280,227,277,259,497,383,364,370,333,249,175,384,273,278,241,243,174,127,185,206,219,192,175,113,106,188,149,130,143,137,141,101,191,134,155,130,114,90,73,121,94,79,82,85,59,49,73,74,71,76,58,48,42,65,60,49,45,42,30,33,41,44,41,31,34,40,31,34,27,31,34,36,21,17,39,36,29,35,39,46,23,47,42,58,27,39,26,24,46,35,50
San Joaquin,782545,310,286,376,1123,898,877,758,686,335,348,860,611,644,624,514,234,246,360,518,384,402,309,182,125,428,295,252,269,267,145,132,403,204,220,228,225,149,79,272,161,174,141,170,94,68,99,165,122,100,86,72,73,149,100,99,111,84,81,46,108,109,108,112,93,80,75,135,116,128,102,113,71,56,128,104,102,85,100,70,41,122,92,96,71,98,63,60,125,86,87
San Luis Obispo,278862,114,228,136,470,487,400,393,239,133,124,330,370,248,154,160,133,100,122,187,263,181,86,89,63,122,134,81,107,100,60,79,134,120,94,77,67,61,42,72,57,59,79,65,41,28,38,53,45,45,42,30,24,32,37,29,23,21,16,21,36,22,33,26,38,21,20,37,42,18,24,24,14,18,29,31,29,23,29,20,16,32,24,40,30,18,13,11,35,35,20
San Mateo,778001,329,448,336,593,562,485,424,510,349,297,491,445,391,341,368,245,165,253,315,286,226,245,221,176,244,235,195,155,169,134,139,190,149,164,138,120,84,68,134,109,131,90,90,72,53,84,77,59,66,62,58,44,60,57,61,37,46,46,41,53,52,52,46,44,32,24,40,49,47,24,37,36,27,39,54,34,30,41,24,34,45,51,56,50,40,35,23,45,42,45
Santa Barbara,456373,243,319,285,718,516,434,482,419,278,208,547,437,409,432,407,277,195,447,372,383,315,284,200,182,313,231,172,174,219,130,143,239,169,169,147,132,94,75,138,113,110,90,94,71,52,92,102,75,68,79,64,35,62,65,54,52,77,44,36,53,43,48,37,39,35,32,47,33,41,27,27,23,25,44,22,32,20,42,29,24,40,47,38,28,30,30,23,42,34,26
Santa Clara,1967585,778,1263,1165,1550,1750,1538,1408,1217,1022,843,1173,1202,1072,973,939,651,466,751,894,777,679,627,441,355,647,571,479,405,468,363,346,547,415,463,317,349,248,221,340,325,307,239,257,169,185,201,235,252,232,226,213,176,226,212,196,151,164,132,148,198,158,179,155,134,96,96,146,128,111,107,131,95,85,128,103,118,93,117,75,92,129,119,117,116,104,98,96,100,107,122
Santa Cruz,273999,117,180,155,302,287,272,219,209,140,96,213,179,214,173,147,109,59,112,133,116,107,84,58,58,86,87,65,70,89,53,40,95,53,59,55,33,21,31,54,39,50,36,23,20,27,28,32,20,33,26,15,11,23,26,28,21,19,12,9,29,19,14,11,19,11,11,22,20,22,15,12,12,7,17,6,6,8,10,7,16,7,12,15,14,21,15,6,14,11,6
Shasta,177925,66,81,67,126,105,107,71,87,50,33,111,98,73,64,49,39,33,58,39,36,51,42,19,30,71,41,35,34,34,17,19,45,25,26,43,26,16,11,20,26,26,23,24,18,12,31,20,16,20,20,12,14,15,15,12,14,12,7,6,21,12,14,10,3,12,9,13,8,7,10,10,8,8,16,16,16,5,14,7,6,20,14,13,19,17,9,11,26,18,8
